   Omega 1   Omega 2   Omega 3     Psi 1     Psi 2     Psi 3
Mean = 
   0.09299   0.18340   0.26630   0.09271   0.17753   0.25508
   0.09311   0.18357   0.26649   0.09897   0.18900   0.27083
   0.09300   0.18311   0.26551   0.08776   0.16839   0.24243
   0.09278   0.18235   0.26399   0.08182   0.15748   0.22742
   0.09312   0.18313   0.26532   0.11000   0.20889   0.29769
   0.09343   0.18383   0.26649   0.10891   0.20693   0.29505
   0.09371   0.18445   0.26750   0.10784   0.20501   0.29246
   0.09396   0.18499   0.26836   0.10680   0.20312   0.28991
   0.09414   0.18533   0.26886   0.10337   0.19691   0.28148
   0.09417   0.18526   0.26862   0.09571   0.18298   0.26247
   0.09430   0.18549   0.26892   0.10142   0.19338   0.27669
   0.09417   0.18497   0.26783   0.08692   0.16657   0.23952
   0.09418   0.18487   0.26756   0.09491   0.18146   0.26032
   0.09447   0.18553   0.26865   0.11009   0.20897   0.29768
   0.09473   0.18611   0.26961   0.10909   0.20717   0.29526
   0.09497   0.18663   0.27044   0.10811   0.20541   0.29288
   0.09475   0.18585   0.26886   0.08214   0.15720   0.22577
   0.09495   0.18627   0.26954   0.10619   0.20196   0.28823
   0.09513   0.18664   0.27011   0.10526   0.20028   0.28596
   0.09526   0.18689   0.27047   0.10304   0.19627   0.28054
   0.09528   0.18680   0.27022   0.09612   0.18363   0.26324
   0.09555   0.18741   0.27123   0.11111   0.21073   0.29995
   0.09579   0.18796   0.27212   0.11017   0.20904   0.29768
   0.09602   0.18844   0.27290   0.10924   0.20738   0.29545
   0.09581   0.18773   0.27147   0.08333   0.15975   0.22982
   0.09600   0.18813   0.27212   0.10744   0.20413   0.29108
   0.09613   0.18838   0.27247   0.10410   0.19811   0.28294
   0.09628   0.18868   0.27293   0.10569   0.20099   0.28683
   0.09632   0.18866   0.27280   0.09839   0.18777   0.26890
   0.09627   0.18843   0.27229   0.09360   0.17890   0.25660
   0.09651   0.18895   0.27315   0.11111   0.21067   0.29978
   0.09608   0.18763   0.27058   0.06890   0.13236   0.19083
   0.09628   0.18809   0.27136   0.10938   0.20755   0.29560
   0.09647   0.18850   0.27204   0.10853   0.20603   0.29356
   0.09664   0.18885   0.27261   0.10731   0.20384   0.29060
   0.09626   0.18770   0.27036   0.07214   0.13812   0.19848
   0.09641   0.18802   0.27088   0.10606   0.20160   0.28758
   0.09636   0.18778   0.27038   0.09286   0.17736   0.25423
   0.09604   0.18678   0.26848   0.07463   0.14314   0.20603
   0.09626   0.18731   0.26939   0.11111   0.21061   0.29964
   0.09645   0.18776   0.27017   0.10956   0.20783   0.29591
   0.09664   0.18819   0.27091   0.10949   0.20771   0.29574
   0.09681   0.18858   0.27157   0.10870   0.20628   0.29383
   0.09677   0.18837   0.27113   0.09353   0.17871   0.25626
   0.09691   0.18869   0.27167   0.10714   0.20349   0.29007
   0.09701   0.18887   0.27194   0.10355   0.19702   0.28134
   0.09709   0.18901   0.27215   0.10282   0.19567   0.27948
   0.09697   0.18861   0.27136   0.08881   0.16984   0.24373
   0.09717   0.18907   0.27214   0.11111   0.21057   0.29952
   0.09735   0.18948   0.27284   0.11034   0.20920   0.29768
   0.09728   0.18922   0.27230   0.09247   0.17658   0.25306
   0.09744   0.18957   0.27289   0.10884   0.20650   0.29406
   0.09758   0.18988   0.27341   0.10811   0.20518   0.29229
   0.09771   0.19016   0.27386   0.10738   0.20388   0.29053
   0.09753   0.18957   0.27272   0.08367   0.16032   0.23053
   0.09764   0.18980   0.27309   0.10596   0.20132   0.28709
   0.09759   0.18960   0.27269   0.09408   0.17971   0.25760
   0.09777   0.19001   0.27338   0.11111   0.21053   0.29941
   0.09793   0.19038   0.27401   0.11039   0.20924   0.29768
   0.09808   0.19072   0.27457   0.10968   0.20796   0.29596
   0.09822   0.19103   0.27508   0.10897   0.20670   0.29427
   0.09835   0.19130   0.27552   0.10828   0.20545   0.29260
   0.09846   0.19154   0.27591   0.10759   0.20422   0.29094
   0.09852   0.19163   0.27601   0.10314   0.19620   0.28011
   0.09830   0.19093   0.27465   0.08031   0.15381   0.22105
   0.09795   0.18989   0.27267   0.07050   0.13516   0.19446
   0.09811   0.19027   0.27332   0.11111   0.21049   0.29931
   0.09826   0.19062   0.27391   0.11043   0.20927   0.29768
   0.09840   0.19094   0.27445   0.10976   0.20807   0.29606
   0.09852   0.19120   0.27488   0.10818   0.20524   0.29226
   0.09864   0.19146   0.27531   0.10843   0.20570   0.29288
   0.09875   0.19169   0.27569   0.10778   0.20453   0.29131
   0.09882   0.19181   0.27587   0.10446   0.19855   0.28324
   0.09834   0.19039   0.27316   0.05799   0.11147   0.16080
   0.09787   0.18904   0.27058   0.05882   0.11298   0.16287
   0.09803   0.18941   0.27125   0.11111   0.21046   0.29922
   0.09817   0.18975   0.27186   0.11047   0.20930   0.29767
   0.09831   0.19007   0.27242   0.10983   0.20816   0.29614
   0.09843   0.19036   0.27293   0.10920   0.20703   0.29463
   0.09854   0.19062   0.27337   0.10829   0.20540   0.29243
   0.09858   0.19067   0.27344   0.10170   0.19351   0.27633
   0.09866   0.19085   0.27375   0.10621   0.20168   0.28743
   0.09873   0.19098   0.27396   0.10449   0.19857   0.28323
   0.09858   0.19053   0.27310   0.08547   0.16365   0.23513
   0.09872   0.19086   0.27368   0.11111   0.21043   0.29914
   0.09885   0.19116   0.27420   0.11050   0.20933   0.29767
   0.09897   0.19144   0.27468   0.10989   0.20824   0.29622
   0.09899   0.19144   0.27464   0.10055   0.19118   0.27284
   0.09909   0.19168   0.27505   0.10870   0.20611   0.29335
   0.09918   0.19187   0.27537   0.10730   0.20360   0.28997
   0.09902   0.19136   0.27441   0.08387   0.16046   0.23039
   0.09903   0.19136   0.27438   0.10053   0.19121   0.27297
   0.09866   0.19026   0.27230   0.06356   0.12226   0.17648
   0.09879   0.19058   0.27287   0.11111   0.21040   0.29907
   0.09891   0.19088   0.27339   0.11053   0.20936   0.29767
   0.09903   0.19115   0.27386   0.10995   0.20832   0.29629
   0.09913   0.19139   0.27429   0.10911   0.20683   0.29429
   0.09923   0.19162   0.27469   0.10881   0.20628   0.29355
   0.09932   0.19183   0.27504   0.10825   0.20528   0.29220
   0.09905   0.19103   0.27350   0.07282   0.13914   0.19957
   0.09883   0.19036   0.27225   0.07704   0.14743   0.21175
   0.09885   0.19040   0.27231   0.10127   0.19269   0.27518
   0.09898   0.19070   0.27285   0.11111   0.21038   0.29901
   0.09909   0.19098   0.27334   0.11055   0.20938   0.29767
