1	0.28212	-3.42920	0.18800	1	1	1
2	0.36385	-3.33036	0.17670	1	1	1
3	0.36893	-2.93842	0.18308	1	1	1
4	0.46429	-2.74341	0.20093	1	1	1
5	0.35074	-2.66541	0.20520	1	1	1
6	0.37622	-2.50664	0.23540	1	1	1
7	0.28227	-2.26857	0.26074	1	1	1
8	0.59362	-2.06476	0.16105	1	1	1
9	0.55474	-1.44975	0.34075	2	1	1
10	0.50991	-1.44914	0.14694	2	1	1
11	0.64116	-1.29142	0.14806	2	1	1
12	0.83806	-1.22873	0.13238	2	1	1
13	0.76663	-1.06104	0.12380	2	1	1
14	0.69825	-0.98901	0.21158	2	1	1
15	0.47563	-0.94598	0.16654	2	1	1
16	1.05559	-0.90949	0.50000	2	1	1
17	0.51477	-1.84796	0.13564	3	1	1
18	0.83657	-1.45579	0.17150	3	1	1
19	1.01096	-1.42941	0.18369	3	1	1
20	1.10640	-1.39690	0.19598	3	1	1
21	0.51170	-1.81496	0.16376	1	1	2
22	0.48935	-1.78184	0.18681	1	1	2
23	0.78774	-1.73743	0.17432	1	1	2
24	1.01832	-1.70256	0.32517	1	1	2
25	0.34901	-1.56045	0.20501	1	1	2
26	0.51357	-1.48062	0.17331	1	1	2
27	0.73863	-1.25067	0.10454	1	1	2
28	0.51599	-1.23995	0.28683	1	1	2
29	1.21828	-0.80660	0.21113	2	1	2
30	0.94372	-0.77609	0.35953	2	1	2
31	0.80136	-0.76802	0.34693	2	1	2
32	1.17266	-0.76548	0.16692	2	1	2
33	1.15438	-0.67169	0.34593	2	1	2
34	1.49252	-0.52602	0.19399	2	1	2
35	0.76685	-0.37160	0.20200	2	1	2
36	0.70538	-0.29667	0.11547	2	1	2
37	1.18722	-1.31787	0.13321	3	1	2
38	0.59685	-1.26581	0.23214	3	1	2
39	0.61570	-1.24491	0.09633	3	1	2
40	0.95676	-1.20698	0.11154	3	1	2
41	0.37867	-1.04841	0.20456	1	1	3
42	0.87388	-0.99558	0.22001	1	1	3
