   Omega 1   Omega 2   Omega 3     Psi 1     Psi 2     Psi 3
Mean = 
   0.25200   0.43509   0.56838   0.25259   0.43556   0.56872
Max = 
   0.25324   0.43699   0.61323   0.30000   0.53333   0.73125
Min = 
   0.00000   0.00000   0.00000   0.00000   0.00000   0.00000
SD = 
   0.00632   0.00790   0.00722   0.04874   0.07845   0.09543
Last = 
   0.25320   0.43657   0.56993   0.25690   0.44254   0.57729

data = 
   0.23905   0.42227   0.55917   0.25104   0.43794   0.57710
   0.24020   0.42481   0.56304   0.29510   0.50514   0.65404
   0.24099   0.42657   0.56574   0.27959   0.48273   0.62982
   0.24092   0.42628   0.56520   0.23763   0.41686   0.55224
   0.24205   0.42874   0.56889   0.29800   0.50924   0.65836
   0.24243   0.42947   0.56994   0.26114   0.45374   0.59572
   0.24215   0.42866   0.56854   0.22794   0.40151   0.53387
   0.24151   0.42694   0.56560   0.20898   0.36912   0.49217
   0.24257   0.42927   0.56910   0.29736   0.50831   0.65737
   0.24277   0.42957   0.56944   0.25286   0.43978   0.57806
   0.24195   0.42741   0.56581   0.19882   0.35275   0.47225
   0.24291   0.42952   0.56900   0.29393   0.50333   0.65197
   0.24314   0.42991   0.56951   0.25532   0.44379   0.58289
   0.24369   0.43109   0.57127   0.27362   0.47297   0.61794
   0.24467   0.43319   0.57439   0.29795   0.50902   0.65797
   0.24541   0.43476   0.57670   0.28626   0.49180   0.63899
   0.24387   0.43080   0.57004   0.15826   0.28556   0.38870
   0.24269   0.42774   0.56489   0.17655   0.31459   0.42305
   0.24319   0.42883   0.56657   0.27149   0.46926   0.61318
   0.24407   0.43076   0.56952   0.29413   0.50355   0.65212
   0.24318   0.42842   0.56555   0.19203   0.33961   0.45365
   0.24411   0.43047   0.56869   0.29808   0.50909   0.65794
   0.24488   0.43216   0.57126   0.28983   0.49730   0.64533
   0.24444   0.43097   0.56926   0.21849   0.38450   0.51110
   0.24435   0.43065   0.56869   0.23937   0.41813   0.55206
   0.24503   0.43211   0.57091   0.28554   0.49020   0.63658
   0.24421   0.43004   0.56755   0.19467   0.34730   0.46746
   0.24412   0.42970   0.56691   0.23862   0.41582   0.54771
   0.24490   0.43143   0.56955   0.29315   0.50161   0.64946
   0.24543   0.43257   0.57132   0.27800   0.47945   0.62517
   0.24517   0.43182   0.57001   0.22897   0.40071   0.52993
   0.24339   0.42726   0.56235   0.13110   0.23752   0.32476
   0.24387   0.42835   0.56409   0.27461   0.47388   0.61835
   0.24463   0.43005   0.56675   0.29341   0.50233   0.65061
   0.24538   0.43171   0.56931   0.29365   0.50247   0.65053
   0.24461   0.42974   0.56606   0.19447   0.34499   0.46221
   0.24502   0.43065   0.56750   0.27197   0.46985   0.61372
   0.24495   0.43036   0.56698   0.24004   0.41797   0.55020
   0.24568   0.43200   0.56950   0.29459   0.50382   0.65201
   0.24634   0.43344   0.57172   0.29019   0.49739   0.64496
   0.24568   0.43173   0.56885   0.20147   0.35537   0.47356
   0.24641   0.43334   0.57133   0.29617   0.50606   0.65439
   0.24599   0.43224   0.56955   0.21685   0.38236   0.50930
   0.24637   0.43309   0.57088   0.27302   0.47180   0.61639
   0.24653   0.43335   0.57124   0.25714   0.44529   0.58323
   0.24720   0.43484   0.57350   0.29450   0.50367   0.65181
   0.24713   0.43456   0.57298   0.24225   0.42159   0.55467
   0.24631   0.43241   0.56937   0.18759   0.33164   0.44302
   0.24653   0.43287   0.57008   0.26250   0.45454   0.59519
   0.24714   0.43422   0.57216   0.29086   0.49827   0.64582
   0.24585   0.43097   0.56680   0.15240   0.27528   0.37522
   0.24651   0.43245   0.56908   0.29490   0.50380   0.65145
   0.24682   0.43311   0.57012   0.26943   0.46533   0.60782
   0.24683   0.43308   0.57008   0.24765   0.43149   0.56827
   0.24556   0.42987   0.56475   0.15067   0.27138   0.36901
   0.24623   0.43139   0.56713   0.29685   0.50695   0.65523
   0.24680   0.43266   0.56913   0.28947   0.49618   0.64346
   0.24586   0.43029   0.56520   0.17467   0.31103   0.41813
   0.24654   0.43182   0.56760   0.29870   0.50955   0.65798
   0.24673   0.43222   0.56823   0.26145   0.45244   0.59213
   0.24600   0.43036   0.56515   0.18926   0.33481   0.44747
   0.24668   0.43188   0.56752   0.29936   0.51045   0.65890
   0.24673   0.43194   0.56759   0.25111   0.43504   0.57007
   0.24655   0.43144   0.56677   0.23192   0.40514   0.53502
   0.24666   0.43165   0.56711   0.25578   0.44294   0.58022
   0.24716   0.43278   0.56888   0.28727   0.49246   0.63882
   0.24673   0.43167   0.56708   0.21204   0.37288   0.49544
   0.24647   0.43099   0.56597   0.22500   0.39408   0.52164
   0.24661   0.43129   0.56649   0.25793   0.44770   0.58752
   0.24692   0.43199   0.56763   0.27258   0.47024   0.61361
   0.24740   0.43309   0.56935   0.28735   0.49281   0.63947
   0.24796   0.43433   0.57128   0.29416   0.50291   0.65071
