   Omega 1   Omega 2   Omega 3     Psi 1     Psi 2     Psi 3
Mean = 
   0.41476   0.62039   0.73336   0.41443   0.62028   0.73335
Max = 
   0.42837   0.64990   0.77331   0.54842   0.78631   0.89531
Min = 
   0.06667   0.12500   0.55500   0.06250   0.12500   0.21671
SD = 
   0.00737   0.00735   0.00542   0.10609   0.13963   0.14567
Last = 
   0.41413   0.62017   0.73352   0.44973   0.66704   0.78241

data = 
   0.00000   0.00000   0.00000   0.00000   0.00000   0.00000
   0.07500   0.00000   0.00000   0.07500   0.00000   0.00000
   0.06667   0.12500   0.00000   0.06250   0.12500   0.00000
   0.17500   0.41875   0.70000   0.28333   0.51667   0.70000
   0.25750   0.54250   0.75000   0.38125   0.62500   0.76250
   0.23333   0.43750   0.55500   0.18500   0.33250   0.45750
   0.29881   0.56500   0.74286   0.46250   0.73500   0.88375
   0.27768   0.49420   0.62536   0.21429   0.37619   0.50786
   0.29444   0.52143   0.66746   0.35313   0.57589   0.72009
   0.32778   0.57771   0.73619   0.46111   0.70903   0.83929
   0.34955   0.60591   0.76114   0.44750   0.68111   0.80479
   0.36477   0.62000   0.76722   0.44091   0.66227   0.77939
   0.36571   0.60944   0.74441   0.37083   0.57424   0.69307
   0.36456   0.59938   0.72925   0.35769   0.56250   0.69135
   0.34667   0.55736   0.66978   0.23036   0.38929   0.50625
   0.32625   0.51219   0.60805   0.18333   0.31643   0.42286
   0.32059   0.50118   0.59827   0.27812   0.44979   0.56647
   0.33203   0.52635   0.63876   0.42353   0.65221   0.78048
   0.34649   0.55534   0.68048   0.46944   0.70997   0.83692
   0.35842   0.57730   0.70972   0.46579   0.70175   0.82670
   0.35500   0.56810   0.69542   0.32250   0.51289   0.63463
   0.35790   0.57300   0.70266   0.38690   0.60405   0.73524
   0.35198   0.56059   0.68608   0.28977   0.47781   0.60732
   0.36259   0.58024   0.71184   0.47935   0.71779   0.84067
   0.36442   0.58375   0.71729   0.38542   0.60951   0.74591
   0.36485   0.58317   0.71545   0.37000   0.57875   0.70532
   0.36887   0.58973   0.72316   0.41923   0.64215   0.76750
   0.37679   0.60315   0.73923   0.47963   0.71503   0.83562
   0.38005   0.60809   0.74490   0.42411   0.65086   0.78036
   0.36546   0.57430   0.69274   0.16121   0.27026   0.35367
   0.36887   0.58132   0.70361   0.41833   0.64684   0.77697
   0.37560   0.59361   0.72003   0.47661   0.71242   0.83501
   0.38333   0.60714   0.73714   0.50313   0.74239   0.86114
   0.38766   0.61359   0.74428   0.45682   0.68026   0.79787
   0.39349   0.62259   0.75430   0.48971   0.71863   0.83191
   0.39841   0.62967   0.76175   0.48214   0.70756   0.82140
   0.38521   0.60041   0.71849   0.15417   0.26869   0.36160
   0.38126   0.59208   0.70761   0.31014   0.49489   0.61511
   0.38728   0.60303   0.72246   0.49868   0.73446   0.85244
   0.38295   0.59426   0.71116   0.30064   0.48613   0.60946
   0.38579   0.59936   0.71837   0.44125   0.66388   0.78500
   0.39106   0.60872   0.73065   0.49634   0.73040   0.84729
   0.39532   0.61603   0.74006   0.48274   0.71350   0.83180
   0.39556   0.61523   0.73837   0.40058   0.60440   0.72149
   0.39869   0.62047   0.74507   0.46591   0.69374   0.81371
   0.39546   0.61316   0.73462   0.32444   0.50848   0.62500
   0.40028   0.62103   0.74395   0.50870   0.73635   0.84414
   0.40508   0.62883   0.75330   0.51543   0.74588   0.85615
   0.40561   0.62911   0.75354   0.41823   0.63344   0.75626
   0.40790   0.63258   0.75768   0.46276   0.68684   0.80537
   0.40502   0.62628   0.74891   0.33450   0.52561   0.64587
   0.40847   0.63184   0.75565   0.49461   0.72259   0.83643
   0.40972   0.63313   0.75657   0.44183   0.65469   0.76790
   0.41396   0.63991   0.76455   0.52406   0.75508   0.86431
   0.41869   0.64744   0.77331   0.54398   0.77795   0.88502
   0.41628   0.64170   0.76486   0.35136   0.54032   0.65503
   0.41460   0.63747   0.75855   0.36830   0.56125   0.67483
   0.41673   0.64067   0.76231   0.47632   0.69944   0.81317
   0.42015   0.64608   0.76876   0.51767   0.74714   0.85734
   0.41702   0.63966   0.76027   0.32627   0.51767   0.64141
   0.41667   0.63874   0.75936   0.40625   0.62081   0.74638
   0.41740   0.63954   0.76020   0.43934   0.65533   0.77243
   0.41982   0.64323   0.76446   0.49355   0.71708   0.82730
   0.41360   0.63042   0.74646   0.22103   0.36991   0.47642
   0.41186   0.62714   0.74273   0.35703   0.55936   0.68584
   0.41449   0.63173   0.74875   0.49846   0.72809   0.84215
   0.41289   0.62809   0.74370   0.36098   0.55045   0.66414
   0.41284   0.62765   0.74317   0.41119   0.61807   0.73467
   0.40619   0.61343   0.72241   0.18346   0.30071   0.38500
   0.39953   0.59926   0.70197   0.17319   0.28262   0.36485
   0.39979   0.60018   0.70427   0.40857   0.62123   0.74274
   0.39923   0.59945   0.70422   0.37958   0.58254   0.70330
   0.39769   0.59679   0.70148   0.34306   0.53476   0.65426
   0.39631   0.59493   0.70026   0.34658   0.55089   0.67893
   0.39322   0.58921   0.69310   0.28041   0.45193   0.56593
   0.39589   0.59472   0.70115   0.49500   0.72875   0.84606
   0.39847   0.59984   0.70842   0.49507   0.72618   0.84117
   0.40076   0.60435   0.71476   0.48766   0.71712   0.83194
   0.40318   0.60910   0.72139   0.49647   0.72942   0.84572
   0.40319   0.60922   0.72196   0.40348   0.61238   0.73277
   0.40061   0.60402   0.71484   0.29875   0.46878   0.57783
   0.39992   0.60292   0.71381   0.37222   0.57379   0.69380
   0.39987   0.60327   0.71501   0.39787   0.61286   0.73873
   0.39768   0.59923   0.70990   0.30813   0.48991   0.60759
   0.39714   0.59892   0.71047   0.37470   0.59060   0.72215
   0.39615   0.59748   0.70927   0.35441   0.55753   0.68468
   0.39250   0.59039   0.69964   0.23750   0.39197   0.49967
   0.39408   0.59384   0.70480   0.46207   0.69147   0.81330
   0.39637   0.59845   0.71125   0.49602   0.73073   0.84830
   0.39841   0.60241   0.71661   0.48792   0.71707   0.83174
   0.39386   0.59290   0.70281   0.19167   0.31409   0.40267
   0.39470   0.59496   0.70620   0.43214   0.65602   0.78077
   0.39706   0.59961   0.71255   0.50462   0.73907   0.85385
   0.39701   0.59985   0.71333   0.39489   0.60722   0.73082
   0.39707   0.60025   0.71428   0.39947   0.61242   0.73605
   0.39532   0.59740   0.71111   0.31342   0.50903   0.63802
   0.39538   0.59798   0.71253   0.39792   0.61638   0.74571
   0.39548   0.59857   0.71378   0.40052   0.61699   0.74307
   0.39722   0.60196   0.71836   0.48138   0.71070   0.82711
   0.39743   0.60264   0.71956   0.40808   0.62445   0.74841
   0.39900   0.60562   0.72348   0.47650   0.70307   0.81852
   0.39838   0.60490   0.72306   0.36733   0.58124   0.71273
   0.39885   0.60608   0.72496   0.42255   0.64514   0.77192
