a b c content serial module panel stage
110 1.32618 0.31777 0.08593 2 110 1 1 1
147 1.27402 0.34729 0.10004 1 147 1 1 1
169 0.92648 0.77724 0.13964 2 169 1 1 1
217 1.56915 0.48487 0.2063 3 217 1 1 1
284 1.80468 2.01305 0.18574 1 284 1 1 1
1 0.28212 -3.4292 0.188 1 1 2 1 2
9 0.55474 -1.44975 0.34075 2 9 2 1 2
168 1.35539 0.59898 0.27613 1 168 2 1 2
239 1.66544 0.7285 0.0981 3 239 2 1 2
272 1.608 2.01146 0.09196 2 272 2 1 2
51 0.93593 -0.20202 0.17977 2 51 3 1 2
54 1.30463 -0.16596 0.15073 2 54 3 1 2
121 1.41811 0.06245 0.14843 1 121 3 1 2
278 1.24214 1.79488 0.20648 3 278 3 1 2
287 1.59193 2.30401 0.10469 1 287 3 1 2
13 0.76663 -1.06104 0.1238 2 13 4 1 2
20 1.1064 -1.3969 0.19598 3 20 4 1 2
29 1.21828 -0.8066 0.21113 2 29 4 1 2
43 0.94676 -0.93393 0.06713 1 43 4 1 2
63 0.90327 -0.54208 0.14408 1 63 4 1 2
2 0.36385 -3.33036 0.1767 1 2 5 1 3
3 0.36893 -2.93842 0.18308 1 3 5 1 3
19 1.01096 -1.42941 0.18369 3 19 5 1 3
154 1.73185 0.73005 0.14341 2 154 5 1 3
189 1.16142 1.02491 0.05526 2 189 5 1 3
114 1.07636 0.37194 0.02523 2 114 6 1 3
145 1.47703 0.32935 0.12674 1 145 6 1 3
158 1.20666 -0.03132 0.16188 3 158 6 1 3
265 1.16434 1.54005 0.23937 1 265 6 1 3
292 0.90249 2.30378 0.1471 2 292 6 1 3
12 0.83806 -1.22873 0.13238 2 12 7 1 3
34 1.49252 -0.52602 0.19399 2 34 7 1 3
37 1.18722 -1.31787 0.13321 3 37 7 1 3
42 0.87388 -0.99558 0.22001 1 42 7 1 3
65 1.07983 -0.46626 0.17154 1 65 7 1 3
4 0.46429 -2.74341 0.20093 1 4 8 1 4
7 0.28227 -2.26857 0.26074 1 7 8 1 4
153 1.16655 0.72347 0.08417 2 153 8 1 4
173 1.4342 0.84885 0.11995 2 173 8 1 4
197 1.25325 0.23521 0.21215 3 197 8 1 4
89 1.21852 0.10318 0.05654 2 89 9 1 4
115 1.11062 0.37674 0.20046 2 115 9 1 4
178 1.51543 0.12667 0.18331 3 178 9 1 4
268 1.34917 1.6974 0.13229 1 268 9 1 4
283 1.14926 1.99497 0.11357 1 283 9 1 4
32 1.17266 -0.76548 0.16692 2 32 10 1 4
45 0.83992 -0.74371 0.11924 1 45 10 1 4
49 1.09781 -0.25021 0.052 2 49 10 1 4
66 0.96256 -0.44516 0.12454 1 66 10 1 4
117 1.35127 -0.47087 0.09622 3 117 10 1 4
