a b c content serial module panel stage
158 1.20666 -0.03132 0.16188 3 158 24 1 1
168 1.35539 0.59898 0.27613 1 168 24 1 1
210 1.2324 1.28199 0.28949 2 210 24 1 1
232 0.92473 1.44495 0.14829 2 232 24 1 1
49 1.09781 -0.25021 0.052 2 49 25 1 1
53 0.73571 -0.17581 0.06579 2 53 25 1 1
57 0.91251 -1.19655 0.08727 3 57 25 1 1
64 1.02068 -0.49628 0.25138 1 64 25 1 1
66 0.96256 -0.44516 0.12454 1 66 25 1 1
29 1.21828 -0.8066 0.21113 2 29 26 1 1
44 0.66529 -0.88196 0.1816 1 44 26 1 1
45 0.83992 -0.74371 0.11924 1 45 26 1 1
52 1.07235 -0.18562 0.08196 2 52 26 1 1
58 0.91004 -1.12367 0.13877 3 58 26 1 1
30 0.94372 -0.77609 0.35953 2 30 27 1 1
40 0.95676 -1.20698 0.11154 3 40 27 1 1
43 0.94676 -0.93393 0.06713 1 43 27 1 1
62 0.73199 -0.59644 0.11454 1 62 27 1 1
150 1.269 0.6906 0.09007 2 150 27 1 1
32 1.17266 -0.76548 0.16692 2 32 28 1 1
63 0.90327 -0.54208 0.14408 1 63 28 1 1
65 1.07983 -0.46626 0.17154 1 65 28 1 1
97 1.04963 -0.60418 0.09479 3 97 28 1 1
156 1.0886 0.75784 0.127 2 156 28 1 1
9 0.55474 -1.44975 0.34075 2 9 29 1 1
16 1.05559 -0.90949 0.5 2 16 29 1 1
227 1.23978 1.19639 0.16853 1 227 29 1 1
257 1.22339 1.02213 0.10194 3 257 29 1 1
268 1.34917 1.6974 0.13229 1 268 29 1 1
56 1.17793 -0.1527 0.5 2 56 30 1 1
140 0.66322 -0.04312 0.14751 3 140 30 1 1
256 1.93513 1.83794 0.18836 2 256 30 1 1
262 0.77834 1.44274 0.09122 1 262 30 1 1
282 0.90689 1.9717 0.08154 1 282 30 1 1
28 0.51599 -1.23995 0.28683 1 28 31 1 1
41 0.37867 -1.04841 0.20456 1 41 31 1 1
77 0.7632 -0.82894 0.19896 3 77 31 1 1
235 1.28983 1.52127 0.14887 2 235 31 1 1
270 1.38278 1.96672 0.2976 2 270 31 1 1
22 0.48935 -1.78184 0.18681 1 22 32 1 1
59 0.59006 -1.02769 0.10096 3 59 32 1 1
153 1.16655 0.72347 0.08417 2 153 32 1 1
201 1.3784 0.8036 0.19098 1 201 32 1 1
212 0.5994 1.2851 0.34499 2 212 32 1 1
102 0.50461 -0.06314 0.10643 1 102 33 1 1
114 1.07636 0.37194 0.02523 2 114 33 1 1
162 1.15175 0.4965 0.09064 1 162 33 1 1
218 0.90061 0.52271 0.26448 3 218 33 1 1
273 1.5695 2.02583 0.15193 2 273 33 1 1
108 0.62533 0.01329 0.5 1 108 34 1 1
155 1.18534 0.73779 0.15533 2 155 34 1 1
163 1.05138 0.51094 0.07302 1 163 34 1 1
272 1.608 2.01146 0.09196 2 272 34 1 1
298 1.14405 1.98778 0.25225 3 298 34 1 1
34 1.49252 -0.52602 0.19399 2 34 35 1 1
