"","a","b","c","content","serial","module","panel","stage"
"151",1.20655,0.70357,0.5,2,151,12,1,1
"220",0.81006,0.61925,0.30838,3,220,12,1,1
"226",0.50389,1.17222,0.15992,1,226,12,1,1
"229",1.41126,1.3741,0.13428,2,229,12,1,1
"235",1.28983,1.52127,0.14887,2,235,12,1,1
"260",1.25655,1.14811,0.24037,3,260,12,1,1
"262",0.77834,1.44274,0.09122,1,262,12,1,1
"295",0.6464,2.66381,0.39275,2,295,12,1,1
"56",1.17793,-0.1527,0.5,2,56,13,1,1
"128",0.94186,0.16016,0.14885,1,128,13,1,1
"135",1.08761,0.56218,0.27451,2,135,13,1,1
"141",1.01793,0.19273,0.34486,1,141,13,1,1
"163",1.05138,0.51094,0.07302,1,163,13,1,1
"178",1.51543,0.12667,0.18331,3,178,13,1,1
"219",1.11723,0.57372,0.23913,3,219,13,1,1
"265",1.16434,1.54005,0.23937,1,265,13,1,1
"270",1.38278,1.96672,0.2976,2,270,13,1,1
"271",2.05814,1.99655,0.18825,2,271,13,1,1
"110",1.32618,0.31777,0.08593,2,110,14,1,1
"136",1.05444,0.60125,0.16527,2,136,14,1,1
"146",1.01454,0.33055,0.23742,1,146,14,1,1
"153",1.16655,0.72347,0.08417,2,153,14,1,1
"162",1.15175,0.4965,0.09064,1,162,14,1,1
"200",1.08426,0.40513,0.12455,3,200,14,1,1
"267",1.07821,1.68906,0.23733,1,267,14,1,1
"288",0.74207,2.576,0.13225,1,288,14,1,1
"296",0.9238,2.92677,0.22862,2,296,14,1,1
"298",1.14405,1.98778,0.25225,3,298,14,1,1
"8",0.59362,-2.06476,0.16105,1,8,15,1,1
"29",1.21828,-0.8066,0.21113,2,29,15,1,1
"33",1.15438,-0.67169,0.34593,2,33,15,1,1
"34",1.49252,-0.52602,0.19399,2,34,15,1,1
"43",0.94676,-0.93393,0.06713,1,43,15,1,1
"44",0.66529,-0.88196,0.1816,1,44,15,1,1
"52",1.07235,-0.18562,0.08196,2,52,15,1,1
"57",0.91251,-1.19655,0.08727,3,57,15,1,1
"58",0.91004,-1.12367,0.13877,3,58,15,1,1
"62",0.73199,-0.59644,0.11454,1,62,15,1,1
"19",1.01096,-1.42941,0.18369,3,19,16,1,1
"30",0.94372,-0.77609,0.35953,2,30,16,1,1
"32",1.17266,-0.76548,0.16692,2,32,16,1,1
"40",0.95676,-1.20698,0.11154,3,40,16,1,1
