a b c content serial module panel stage
1 0.28212 -3.4292 0.188 1 1 1 1 1
4 0.46429 -2.74341 0.20093 1 4 1 1 1
5 0.35074 -2.66541 0.2052 1 5 1 1 1
6 0.37622 -2.50664 0.2354 1 6 1 1 1
7 0.28227 -2.26857 0.26074 1 7 1 1 1
72 0.60727 -0.07633 0.28479 2 72 1 1 1
105 0.89732 -0.03003 0.21412 1 105 1 1 1
130 1.46518 0.49739 0.16306 2 130 1 1 1
138 0.85197 -0.26127 0.15188 3 138 1 1 1
139 1.0015 -0.06586 0.28001 3 139 1 1 1
145 1.47703 0.32935 0.12674 1 145 1 1 1
152 1.31899 0.70483 0.11459 2 152 1 1 1
154 1.73185 0.73005 0.14341 2 154 1 1 1
156 1.0886 0.75784 0.127 2 156 1 1 1
181 0.91332 0.6779 0.14975 1 181 1 1 1
189 1.16142 1.02491 0.05526 2 189 1 1 1
216 0.63325 1.36473 0.05896 2 216 1 1 1
219 1.11723 0.57372 0.23913 3 219 1 1 1
238 1.05853 0.71218 0.21766 3 238 1 1 1
273 1.5695 2.02583 0.15193 2 273 1 1 1
2 0.36385 -3.33036 0.1767 1 2 2 1 1
3 0.36893 -2.93842 0.18308 1 3 2 1 1
73 1.07956 -0.03388 0.33509 2 73 2 1 1
110 1.32618 0.31777 0.08593 2 110 2 1 1
122 0.8646 0.07006 0.20903 1 122 2 1 1
129 1.38875 0.47849 0.11522 2 129 2 1 1
135 1.08761 0.56218 0.27451 2 135 2 1 1
142 0.51767 0.23125 0.21801 1 142 2 1 1
143 0.72184 0.28359 0.08711 1 143 2 1 1
148 0.82244 0.35952 0.19388 1 148 2 1 1
150 1.269 0.6906 0.09007 2 150 2 1 1
160 1.12345 0.05971 0.19227 3 160 2 1 1
163 1.05138 0.51094 0.07302 1 163 2 1 1
177 0.98843 0.07261 0.11335 3 177 2 1 1
217 1.56915 0.48487 0.2063 3 217 2 1 1
224 0.91941 1.10743 0.30241 1 224 2 1 1
