a b c content serial module panel stage
227 1.23978 1.19639 0.16853 1 227 12 1 1
229 1.41126 1.3741 0.13428 2 229 12 1 1
244 1.11079 1.30293 0.24064 1 244 12 1 1
17 0.51477 -1.84796 0.13564 3 17 13 1 1
24 1.01832 -1.70256 0.32517 1 24 13 1 1
189 1.16142 1.02491 0.05526 2 189 13 1 1
193 0.96237 1.0887 0.2303 2 193 13 1 1
196 1.43289 1.19057 0.28078 2 196 13 1 1
239 1.66544 0.7285 0.0981 3 239 13 1 1
241 0.92247 1.26716 0.10077 1 241 13 1 1
247 0.85019 1.38074 0.08722 1 247 13 1 1
253 2.19054 1.70257 0.21894 2 253 13 1 1
264 0.89657 1.49338 0.19509 1 264 13 1 1
172 1.00382 0.82144 0.10494 2 172 14 1 1
188 0.94775 0.7774 0.21869 1 188 14 1 1
191 1.03949 1.03144 0.30238 2 191 14 1 1
195 0.83668 1.1658 0.13975 2 195 14 1 1
208 0.92049 0.94775 0.23537 1 208 14 1 1
237 1.07091 0.7 0.16372 3 237 14 1 1
243 1.09077 1.29115 0.14429 1 243 14 1 1
246 0.98444 1.37395 0.17914 1 246 14 1 1
249 0.81933 1.54567 0.30536 2 249 14 1 1
257 1.22339 1.02213 0.10194 3 257 14 1 1
123 1.12392 0.08478 0.09302 1 123 15 1 1
156 1.0886 0.75784 0.127 2 156 15 1 1
203 1.10438 0.86576 0.23899 1 203 15 1 1
213 1.02427 1.33306 0.23151 2 213 15 1 1
219 1.11723 0.57372 0.23913 3 219 15 1 1
233 1.4842 1.48036 0.16499 2 233 15 1 1
238 1.05853 0.71218 0.21766 3 238 15 1 1
245 1.30404 1.37048 0.07061 1 245 15 1 1
251 1.34538 1.57022 0.15129 2 251 15 1 1
287 1.59193 2.30401 0.10469 1 287 15 1 1
16 1.05559 -0.90949 0.5 2 16 16 1 1
23 0.78774 -1.73743 0.17432 1 23 16 1 1
43 0.94676 -0.93393 0.06713 1 43 16 1 1
49 1.09781 -0.25021 0.052 2 49 16 1 1
54 1.30463 -0.16596 0.15073 2 54 16 1 1
63 0.90327 -0.54208 0.14408 1 63 16 1 1
65 1.07983 -0.46626 0.17154 1 65 16 1 1
79 0.85969 -0.68603 0.08217 3 79 16 1 1
118 1.07807 -0.44051 0.15996 3 118 16 1 1
250 1.10122 1.56418 0.09575 2 250 16 1 1
14 0.69825 -0.98901 0.21158 2 14 17 1 1
29 1.21828 -0.8066 0.21113 2 29 17 1 1
40 0.95676 -1.20698 0.11154 3 40 17 1 1
44 0.66529 -0.88196 0.1816 1 44 17 1 1
51 0.93593 -0.20202 0.17977 2 51 17 1 1
52 1.07235 -0.18562 0.08196 2 52 17 1 1
57 0.91251 -1.19655 0.08727 3 57 17 1 1
61 0.85165 -0.60429 0.33388 1 61 17 1 1
66 0.96256 -0.44516 0.12454 1 66 17 1 1
106 0.9491 -0.01374 0.06349 1 106 17 1 1
33 1.15438 -0.67169 0.34593 2 33 18 1 1
34 1.49252 -0.52602 0.19399 2 34 18 1 1
46 0.57169 -0.73814 0.22675 1 46 18 1 1
85 1.091 -0.19352 0.17694 1 85 18 1 1
87 0.86811 -0.12321 0.18031 1 87 18 1 1
90 1.0046 0.1092 0.08802 2 90 18 1 1
97 1.04963 -0.60418 0.09479 3 97 18 1 1
100 1.05442 -0.50597 0.08432 3 100 18 1 1
103 0.93621 -0.05029 0.14846 1 103 18 1 1
271 2.05814 1.99655 0.18825 2 271 18 1 1
30 0.94372 -0.77609 0.35953 2 30 19 1 1
32 1.17266 -0.76548 0.16692 2 32 19 1 1
