   Omega 1   Omega 2   Omega 3     Psi 1     Psi 2     Psi 3
Mean = 
   0.26771   0.46502   0.60654   0.27083   0.46855   0.61264
   0.26834   0.46640   0.60869   0.29845   0.51001   0.65932
   0.26889   0.46760   0.61057   0.29566   0.50605   0.65513
   0.26754   0.46416   0.60487   0.20126   0.35300   0.46803
   0.26804   0.46527   0.60660   0.29325   0.50138   0.64859
   0.26861   0.46652   0.60858   0.29703   0.50792   0.65704
   0.26833   0.46580   0.60748   0.25417   0.44181   0.58040
   0.26739   0.46348   0.60382   0.21917   0.38547   0.51210
   0.26797   0.46479   0.60590   0.29808   0.50934   0.65846
   0.26845   0.46585   0.60760   0.29310   0.50224   0.65092
   0.26733   0.46306   0.60305   0.20873   0.36631   0.48586
   0.26790   0.46434   0.60508   0.29790   0.50901   0.65804
   0.26841   0.46549   0.60691   0.29583   0.50609   0.65496
   0.26869   0.46612   0.60797   0.28372   0.48862   0.63612
   0.26887   0.46644   0.60841   0.27886   0.47804   0.62014
   0.26938   0.46756   0.61015   0.29730   0.50811   0.65703
   0.26882   0.46614   0.60783   0.23795   0.41407   0.54474
   0.26860   0.46560   0.60707   0.25619   0.44572   0.58593
   0.26912   0.46674   0.60885   0.29825   0.50939   0.65833
   0.26955   0.46770   0.61035   0.29435   0.50384   0.65242
   0.26975   0.46814   0.61108   0.28147   0.48489   0.63154
   0.27025   0.46922   0.61272   0.29915   0.51061   0.65955
   0.27067   0.47012   0.61409   0.29513   0.50488   0.65345
   0.27081   0.47037   0.61447   0.27878   0.48021   0.62546
   0.27127   0.47137   0.61595   0.29917   0.51057   0.65943
   0.27170   0.47228   0.61730   0.29752   0.50826   0.65702
   0.27173   0.47227   0.61724   0.27357   0.47191   0.61557
   0.26897   0.46525   0.60537   0.10041   0.18214   0.24930
   0.26944   0.46631   0.60707   0.29839   0.50944   0.65822
   0.26986   0.46725   0.60857   0.29580   0.50578   0.65435
   0.26989   0.46729   0.60870   0.27143   0.46905   0.61283
   0.27034   0.46831   0.61028   0.29921   0.51056   0.65935
   0.27075   0.46921   0.61170   0.29688   0.50726   0.65586
   0.26988   0.46701   0.60806   0.21415   0.37385   0.49365
   0.27019   0.46766   0.60908   0.28981   0.49557   0.64138
   0.27052   0.46841   0.61026   0.29218   0.50026   0.64807
   0.27015   0.46747   0.60879   0.24564   0.42693   0.56113
   0.26836   0.46305   0.60155   0.15038   0.27014   0.36631
   0.26878   0.46402   0.60314   0.29664   0.50682   0.65528
   0.26885   0.46417   0.60338   0.27389   0.47046   0.61148
   0.26874   0.46391   0.60307   0.26121   0.45245   0.59253
   0.26918   0.46492   0.60469   0.29927   0.51052   0.65918
   0.26946   0.46556   0.60576   0.28841   0.49458   0.64165
   0.26968   0.46609   0.60665   0.28507   0.49006   0.63711
   0.27011   0.46705   0.60817   0.30000   0.51151   0.66018
   0.27050   0.46791   0.60953   0.29734   0.50776   0.65622
   0.27052   0.46796   0.60966   0.27201   0.47016   0.61436
   0.26877   0.46354   0.60220   0.14493   0.25575   0.34122
   0.26919   0.46449   0.60374   0.29861   0.50952   0.65804
   0.26951   0.46526   0.60500   0.29310   0.50164   0.64960
   0.26978   0.46588   0.60605   0.28921   0.49603   0.64355
   0.27018   0.46679   0.60748   0.29932   0.51048   0.65903
   0.27054   0.46761   0.60878   0.29730   0.50763   0.65602
   0.27048   0.46745   0.60860   0.26560   0.45975   0.60169
   0.27053   0.46752   0.60867   0.27450   0.47086   0.61138
   0.27089   0.46833   0.60993   0.29785   0.50838   0.65677
   0.27016   0.46653   0.60703   0.21497   0.37653   0.49872
   0.27003   0.46623   0.60664   0.26029   0.45149   0.59203
   0.27040   0.46707   0.60796   0.29870   0.50955   0.65798
   0.26957   0.46496   0.60444   0.20516   0.35712   0.47041
   0.26973   0.46536   0.60513   0.28269   0.48587   0.63170
   0.27010   0.46619   0.60645   0.29841   0.50909   0.65745
   0.27042   0.46694   0.60766   0.29620   0.50599   0.65418
   0.27064   0.46744   0.60848   0.28758   0.49345   0.64053
   0.27100   0.46825   0.60975   0.29984   0.51110   0.65955
   0.27133   0.46897   0.61088   0.29720   0.50737   0.65561
   0.27147   0.46930   0.61143   0.28318   0.48691   0.63324
   0.27070   0.46742   0.60840   0.20798   0.36620   0.48720
   0.27103   0.46816   0.60956   0.29787   0.50826   0.65649
   0.27134   0.46886   0.61066   0.29697   0.50702   0.65522
   0.27135   0.46889   0.61074   0.27259   0.47032   0.61373
   0.27169   0.46963   0.61188   0.29940   0.51042   0.65878
   0.27173   0.46965   0.61183   0.27515   0.47076   0.60965
   0.27127   0.46851   0.60999   0.23254   0.40502   0.53354
   0.27159   0.46924   0.61112   0.29912   0.51000   0.65831
   0.27190   0.46993   0.61218   0.29825   0.50877   0.65701
   0.27157   0.46908   0.61081   0.24302   0.42134   0.55264
   0.27106   0.46786   0.60889   0.22731   0.39829   0.52739
   0.27138   0.46858   0.61001   0.29885   0.50960   0.65786
   0.27165   0.46919   0.61097   0.29514   0.50432   0.65223
   0.27185   0.46965   0.61171   0.28977   0.49654   0.64378
   0.27216   0.47034   0.61277   0.29944   0.51040   0.65868
   0.27245   0.47097   0.61374   0.29775   0.50803   0.65618
   0.27106   0.46747   0.60785   0.14791   0.26115   0.34875
   0.27138   0.46820   0.60899   0.30000   0.51117   0.65947
   0.27166   0.46883   0.60999   0.29669   0.50650   0.65454
   0.27176   0.46905   0.61037   0.28049   0.48231   0.62742
   0.27068   0.46639   0.60601   0.17268   0.30592   0.40960
   0.27098   0.46709   0.60712   0.29864   0.50924   0.65741
   0.27120   0.46758   0.60793   0.29081   0.49792   0.64516
   0.27119   0.46756   0.60792   0.27056   0.46596   0.60721
   0.27149   0.46823   0.60899   0.29920   0.51000   0.65819
   0.27175   0.46883   0.60993   0.29601   0.50548   0.65340
   0.27139   0.46792   0.60843   0.23810   0.41174   0.53889
   0.27169   0.46860   0.60950   0.30000   0.51111   0.65934
   0.27197   0.46923   0.61048   0.29830   0.50872   0.65682
   0.27039   0.46525   0.60381   0.11927   0.21326   0.28823
   0.27024   0.46492   0.60336   0.25622   0.44418   0.58237
   0.27054   0.46561   0.60448   0.29897   0.50964   0.65777
   0.27081   0.46625   0.60552   0.29731   0.50730   0.65530
   0.27075   0.46613   0.60538   0.26505   0.45806   0.59874
   0.27103   0.46676   0.60640   0.29784   0.50797   0.65591
   0.27129   0.46738   0.60740   0.29785   0.50805   0.65607
   0.27049   0.46539   0.60415   0.19033   0.33460   0.44494
   0.27078   0.46607   0.60525   0.30000   0.51106   0.65922
   0.27103   0.46666   0.60619   0.29602   0.50537   0.65314
   0.27086   0.46626   0.60564   0.25347   0.44009   0.57784
   0.27054   0.46552   0.60451   0.23830   0.41570   0.54822
   0.27081   0.46617   0.60555   0.29902   0.50966   0.65773
   0.27106   0.46674   0.60648   0.29634   0.50588   0.65374
   0.27117   0.46701   0.60694   0.28240   0.48495   0.63014
   0.27144   0.46763   0.60793   0.29952   0.51034   0.65843
   0.27154   0.46785   0.60828   0.28137   0.48250   0.62628
   0.27171   0.46825   0.60894   0.28947   0.49589   0.64285
   0.27198   0.46885   0.60989   0.30000   0.51100   0.65911
   0.27223   0.46942   0.61078   0.29858   0.50900   0.65701
   0.27178   0.46832   0.60901   0.22429   0.39131   0.51642
   0.27124   0.46702   0.60693   0.21397   0.37539   0.49786
   0.27150   0.46762   0.60788   0.29907   0.50967   0.65770
   0.27174   0.46817   0.60876   0.29767   0.50772   0.65563
   0.27106   0.46649   0.60602   0.19757   0.34664   0.46009
   0.27132   0.46710   0.60698   0.29954   0.51033   0.65837
   0.27138   0.46723   0.60721   0.27787   0.47692   0.61960
   0.27148   0.46747   0.60762   0.28219   0.48449   0.62945
   0.27173   0.46806   0.60855   0.30000   0.51096   0.65902
   0.27193   0.46851   0.60928   0.29378   0.50202   0.64940
   0.27138   0.46716   0.60706   0.21070   0.36764   0.48535
   0.27123   0.46681   0.60654   0.25460   0.44103   0.57788
   0.27148   0.46738   0.60745   0.29911   0.50969   0.65767
   0.27168   0.46785   0.60820   0.29422   0.50267   0.65011
   0.27182   0.46817   0.60872   0.28728   0.49204   0.63785
   0.27206   0.46872   0.60959   0.29956   0.51031   0.65831
   0.27224   0.46913   0.61025   0.29243   0.49999   0.64710
   0.27235   0.46940   0.61069   0.28526   0.48951   0.63561
   0.27259   0.46994   0.61153   0.30000   0.51092   0.65893
   0.27282   0.47044   0.61231   0.29859   0.50894   0.65685
   0.27276   0.47032   0.61213   0.26659   0.46071   0.60223
   0.27183   0.46801   0.60836   0.16309   0.29057   0.39112
   0.27206   0.46854   0.60919   0.29915   0.50970   0.65764
   0.27228   0.46904   0.60998   0.29787   0.50791   0.65575
   0.27227   0.46903   0.60999   0.27150   0.46807   0.61049
   0.27250   0.46955   0.61080   0.29958   0.51030   0.65825
