   Omega 1   Omega 2   Omega 3     Psi 1     Psi 2     Psi 3
Mean = 
   0.37218   0.57236   0.68970   0.33698   0.54473   0.67825
   0.37321   0.57454   0.69288   0.42268   0.64358   0.76745
   0.37548   0.57904   0.69901   0.48546   0.72302   0.84471
   0.37707   0.58220   0.70336   0.45480   0.68447   0.80771
   0.37888   0.58580   0.70829   0.46875   0.70341   0.82772
   0.38044   0.58863   0.71182   0.45817   0.68183   0.79835
   0.38053   0.58892   0.71237   0.38529   0.59849   0.72595
   0.38216   0.59196   0.71632   0.46505   0.69440   0.81503
   0.38315   0.59385   0.71879   0.43462   0.65808   0.78140
   0.38470   0.59671   0.72250   0.46524   0.69515   0.81693
   0.38501   0.59729   0.72329   0.40094   0.61720   0.74368
   0.38692   0.60076   0.72763   0.48855   0.72220   0.84045
   0.38740   0.60155   0.72856   0.41296   0.62935   0.75289
   0.38875   0.60389   0.73139   0.46147   0.68749   0.80662
   0.39029   0.60660   0.73471   0.47455   0.70417   0.82347
   0.39213   0.60981   0.73863   0.49279   0.72648   0.84445
   0.39077   0.60694   0.73453   0.31540   0.50187   0.62281
   0.39127   0.60768   0.73529   0.41925   0.63470   0.75611
   0.39066   0.60647   0.73365   0.35614   0.56130   0.68805
   0.39151   0.60784   0.73515   0.44043   0.65950   0.77734
   0.39013   0.60487   0.73086   0.31078   0.49199   0.60966
   0.39143   0.60715   0.73370   0.46645   0.69482   0.81453
   0.38902   0.60207   0.72628   0.24831   0.40560   0.51290
   0.38985   0.60355   0.72817   0.43866   0.66108   0.78316
   0.38833   0.60042   0.72375   0.29812   0.47750   0.59437
   0.39003   0.60354   0.72777   0.49174   0.72712   0.84645
   0.38940   0.60223   0.72598   0.35164   0.55006   0.67262
   0.39082   0.60478   0.72922   0.47724   0.70749   0.82644
   0.39217   0.60708   0.73197   0.47500   0.70060   0.81520
   0.39226   0.60722   0.73222   0.39800   0.61301   0.73969
   0.39335   0.60911   0.73453   0.46171   0.68699   0.80584
   0.38956   0.60082   0.72206   0.15039   0.25542   0.33546
   0.38897   0.59972   0.72070   0.35176   0.55360   0.67799
   0.38932   0.60036   0.72167   0.41143   0.62760   0.75230
   0.38877   0.59933   0.72043   0.35327   0.55532   0.68114
   0.38676   0.59529   0.71482   0.25649   0.42178   0.53531
   0.38819   0.59796   0.71837   0.48144   0.71352   0.83287
   0.38936   0.60016   0.72132   0.46654   0.69628   0.81714
   0.38910   0.59977   0.72099   0.37239   0.58271   0.71009
   0.39025   0.60182   0.72361   0.46667   0.69248   0.80998
   0.39126   0.60348   0.72552   0.45956   0.67764   0.78903
   0.39170   0.60425   0.72657   0.42172   0.63869   0.76175
   0.39060   0.60203   0.72353   0.31558   0.50137   0.62104
   0.38939   0.59957   0.72014   0.30576   0.48747   0.60502
   0.38895   0.59878   0.71926   0.35821   0.56245   0.68918
   0.39034   0.60132   0.72255   0.48759   0.71906   0.83588
   0.39162   0.60365   0.72558   0.48187   0.71251   0.83077
   0.39267   0.60561   0.72816   0.46713   0.69731   0.81870
   0.39336   0.60683   0.72975   0.44271   0.66481   0.78578
   0.39298   0.60608   0.72881   0.36569   0.57019   0.69518
   0.39013   0.59992   0.71969   0.18356   0.30453   0.39372
   0.39143   0.60235   0.72290   0.48639   0.71944   0.83863
   0.39286   0.60497   0.72632   0.49814   0.73282   0.85036
   0.39433   0.60764   0.72977   0.50302   0.73853   0.85558
   0.39173   0.60204   0.72151   0.19800   0.32564   0.41801
   0.39165   0.60189   0.72144   0.38576   0.59442   0.71885
   0.39281   0.60404   0.72430   0.47993   0.71156   0.83061
   0.39402   0.60627   0.72722   0.48595   0.71820   0.83692
   0.39512   0.60815   0.72954   0.47955   0.70385   0.81697
   0.39631   0.61022   0.73211   0.48806   0.71567   0.83005
   0.39754   0.61237   0.73481   0.49279   0.72280   0.83772
   0.39878   0.61454   0.73752   0.49554   0.72642   0.84214
   0.39994   0.61645   0.73979   0.49082   0.71607   0.82769
   0.39911   0.61474   0.73745   0.33365   0.52501   0.64606
   0.39750   0.61113   0.73203   0.26984   0.42085   0.51958
   0.39789   0.61183   0.73304   0.42873   0.64904   0.77278
   0.39864   0.61315   0.73477   0.45926   0.68346   0.80342
   0.39891   0.61360   0.73543   0.42055   0.63790   0.76176
   0.39822   0.61218   0.73353   0.34177   0.53572   0.65701
   0.39629   0.60814   0.72769   0.23818   0.38823   0.49120
   0.39734   0.61007   0.73026   0.48434   0.71604   0.83511
   0.39791   0.61107   0.73159   0.44476   0.66595   0.78602
   0.39896   0.61295   0.73401   0.48705   0.71686   0.83415
   0.39703   0.60895   0.72834   0.23432   0.38622   0.49301
   0.39503   0.60478   0.72240   0.22618   0.37146   0.47433
   0.39602   0.60657   0.72472   0.48070   0.70703   0.82217
   0.39519   0.60501   0.72278   0.32355   0.51687   0.64093
   0.39494   0.60460   0.72242   0.37355   0.58129   0.70679
   0.39380   0.60236   0.71942   0.29569   0.47383   0.59127
   0.39360   0.60203   0.71915   0.37614   0.58316   0.70751
   0.39202   0.59882   0.71470   0.25341   0.41272   0.52240
   0.39290   0.60051   0.71702   0.47090   0.69902   0.81778
   0.39379   0.60216   0.71922   0.47233   0.69854   0.81552
   0.39278   0.60017   0.71658   0.30307   0.48318   0.60049
   0.39337   0.60126   0.71806   0.44597   0.66559   0.78330
   0.39197   0.59852   0.71439   0.26561   0.43549   0.55140
   0.39299   0.60044   0.71697   0.48544   0.71541   0.83251
   0.39026   0.59466   0.70848   0.14221   0.24598   0.32608
   0.39135   0.59672   0.71127   0.49049   0.72158   0.83773
   0.39240   0.59873   0.71404   0.48905   0.72166   0.84014
   0.39252   0.59904   0.71464   0.40417   0.61778   0.74205
