0.9491	-0.01374	0.06349	1	1
1.15175	0.4965	0.09064	1	1
1.32618	0.31777	0.08593	2	1
1.49179	1.52422	0.18658	2	1
1.12345	0.05971	0.19227	3	1
0.28227	-2.26857	0.26074	1	2
1.14926	1.99497	0.11357	1	2
1.21852	0.10318	0.05654	2	2
1.19155	0.11524	0.25589	2	2
1.20666	-0.03132	0.16188	3	2
1.27402	0.34729	0.10004	1	3
1.08781	1.40442	0.28071	1	3
1.30463	-0.16596	0.15073	2	3
1.38875	0.47849	0.11522	2	3
1.24214	1.79488	0.20648	3	3
1.41811	0.06245	0.14843	1	4
1.12392	0.08478	0.09302	1	4
1.93513	1.83794	0.18836	2	4
1.608	2.01146	0.09196	2	4
1.51543	0.12667	0.18331	3	4
0.37622	-2.50664	0.2354	1	5
0.34901	-1.56045	0.20501	1	5
1.73185	0.73005	0.14341	2	5
1.43289	1.19057	0.28078	2	5
1.56915	0.48487	0.2063	3	5
0.36385	-3.33036	0.1767	1	6
1.35539	0.59898	0.27613	1	6
1.46518	0.49739	0.16306	2	6
0.90976	0.55405	0.27422	2	6
1.08426	0.40513	0.12455	3	6
1.47703	0.32935	0.12674	1	7
0.97787	1.79151	0.22901	1	7
1.269	0.6906	0.09007	2	7
1.3246	1.26985	0.25744	2	7
1.01096	-1.42941	0.18369	3	7
0.90327	-0.54208	0.14408	1	8
1.02068	-0.49628	0.25138	1	8
1.05559	-0.90949	0.5	2	8
1.0046	0.1092	0.08802	2	8
1.04963	-0.60418	0.09479	3	8
1.05615	0.77543	0.10983	1	9
1.23978	1.19639	0.16853	1	9
1.15438	-0.67169	0.34593	2	9
1.49252	-0.52602	0.19399	2	9
1.07807	-0.44051	0.15996	3	9
0.93621	-0.05029	0.14846	1	10
1.04105	0.08671	0.16097	1	10
0.94372	-0.77609	0.35953	2	10
1.23326	-0.10127	0.10312	2	10
1.08948	-0.71943	0.17009	3	10
0.46429	-2.74341	0.20093	1	11
0.35074	-2.66541	0.2052	1	11
0.55474	-1.44975	0.34075	2	11
1.4342	0.84885	0.11995	2	11
1.66544	0.7285	0.0981	3	11
