   Omega 1   Omega 2   Omega 3     Psi 1     Psi 2     Psi 3
Mean = 
   0.18148   0.32872   0.44797   0.18189   0.32906   0.44824
Max = 
   0.18238   0.33028   0.45015   0.20000   0.37778   0.54000
Min = 
   0.00000   0.00000   0.00000   0.00000   0.00000   0.00000
SD = 
   0.00486   0.00677   0.00713   0.02688   0.04650   0.06048
Last = 
   0.18233   0.32982   0.44917   0.17022   0.30871   0.42159

data = 
   0.00000   0.00000   0.00000   0.00000   0.00000   0.00000
   0.00000   0.00000   0.00000   0.00000   0.00000   0.00000
   0.00000   0.00000   0.00000   0.00000   0.00000   0.00000
   0.00000   0.00000   0.00000   0.00000   0.00000   0.00000
   0.00000   0.00000   0.00000   0.00000   0.00000   0.00000
   0.06000   0.18000   0.36000   0.18000   0.36000   0.54000
   0.09048   0.24571   0.44000   0.16667   0.33333   0.50000
   0.10268   0.25804   0.42893   0.13929   0.27857   0.41786
   0.10556   0.24911   0.39246   0.11563   0.23125   0.34688
   0.09444   0.20438   0.29548   0.05000   0.10000   0.15000
   0.11364   0.25167   0.38197   0.20000   0.37778   0.53333
   0.12462   0.27409   0.41646   0.17955   0.34136   0.48545
   0.12821   0.27631   0.41367   0.14792   0.28371   0.40739
   0.13049   0.27651   0.40949   0.14423   0.27724   0.39904
   0.12381   0.25242   0.36084   0.08036   0.15604   0.22706
   0.12833   0.26152   0.37666   0.16000   0.30095   0.42412
   0.13456   0.27522   0.39988   0.18125   0.33917   0.47536
   0.13922   0.28450   0.41429   0.17647   0.33088   0.46471
   0.14196   0.28873   0.41953   0.16528   0.31127   0.43919
   0.14039   0.28149   0.40426   0.12632   0.24050   0.34319
   0.14452   0.28996   0.41752   0.18375   0.34079   0.47386
   0.14870   0.29847   0.43046   0.19048   0.35238   0.48872
   0.14970   0.29860   0.42859   0.16023   0.29946   0.41968
   0.15172   0.30179   0.43263   0.17391   0.32411   0.45285
   0.15008   0.29525   0.41931   0.13125   0.24728   0.34938
   0.15392   0.30349   0.43239   0.20000   0.36667   0.50435
   0.15677   0.30909   0.44070   0.19231   0.35385   0.48846
   0.15853   0.31193   0.44426   0.18148   0.33561   0.46561
   0.15868   0.31062   0.44065   0.16071   0.29927   0.41811
   0.15408   0.29662   0.41440   0.08966   0.17063   0.24374
   0.15704   0.30329   0.42563   0.20000   0.36552   0.50148
   0.15897   0.30720   0.43188   0.18790   0.34505   0.47565
   0.16023   0.30939   0.43511   0.17969   0.33130   0.45850
   0.16061   0.30933   0.43441   0.16667   0.30871   0.42918
   0.15660   0.29744   0.41239   0.09044   0.17063   0.24168
   0.15897   0.30295   0.42190   0.19929   0.36353   0.49802
