   Omega 1   Omega 2   Omega 3     Psi 1     Psi 2     Psi 3
Mean = 
   0.79992   0.89579   0.93278   0.76418   0.85932   0.89901
   0.80119   0.89770   0.93489   0.86250   0.95873   0.98486
   0.79918   0.89457   0.93115   0.70076   0.79340   0.84145
   0.79922   0.89466   0.93130   0.80150   0.89756   0.93509
   0.80016   0.89610   0.93296   0.84703   0.94368   0.97347
   0.80109   0.89750   0.93455   0.84779   0.94435   0.97406
   0.79749   0.89154   0.92658   0.61408   0.69077   0.72717
   0.79839   0.89293   0.92821   0.84471   0.94021   0.96945
   0.79536   0.88840   0.92284   0.63786   0.73275   0.78602
   0.79571   0.88896   0.92352   0.81392   0.90847   0.94101
   0.79594   0.88949   0.92436   0.80818   0.90810   0.94604
   0.79673   0.89062   0.92554   0.83889   0.93034   0.95644
   0.79680   0.89077   0.92577   0.80069   0.89618   0.93192
   0.79769   0.89213   0.92730   0.84659   0.94102   0.96838
   0.79725   0.89143   0.92654   0.77297   0.86625   0.90593
   0.79811   0.89276   0.92811   0.84576   0.94157   0.97083
   0.79649   0.89034   0.92536   0.70553   0.80062   0.84978
   0.79680   0.89082   0.92592   0.81425   0.90863   0.94144
   0.79764   0.89209   0.92737   0.84565   0.94013   0.96791
   0.79670   0.89067   0.92568   0.74267   0.83671   0.87804
   0.79604   0.88971   0.92465   0.75791   0.85289   0.89540
   0.79688   0.89104   0.92625   0.84597   0.94259   0.97207
   0.79655   0.89056   0.92568   0.77710   0.87182   0.90937
   0.79748   0.89205   0.92744   0.85292   0.95045   0.97892
   0.79662   0.89078   0.92607   0.74504   0.84041   0.88567
   0.79472   0.88779   0.92241   0.67930   0.76823   0.81348
   0.79469   0.88777   0.92248   0.79289   0.88689   0.92438
   0.79420   0.88713   0.92191   0.76431   0.86142   0.90471
   0.79494   0.88830   0.92328   0.84100   0.93624   0.96510
   0.79263   0.88441   0.91804   0.64821   0.72354   0.75682
   0.79166   0.88307   0.91667   0.73051   0.82717   0.87446
   0.79261   0.88468   0.91868   0.85254   0.95236   0.98119
   0.79326   0.88570   0.91986   0.83488   0.92863   0.95734
   0.79348   0.88611   0.92043   0.80808   0.90378   0.93829
   0.79286   0.88526   0.91949   0.75248   0.84879   0.88953
   0.79313   0.88574   0.92017   0.81061   0.90659   0.94211
   0.79394   0.88708   0.92179   0.84774   0.94541   0.97446
   0.79312   0.88574   0.92014   0.73843   0.82704   0.86611
   0.79345   0.88637   0.92105   0.81519   0.91428   0.95087
   0.79371   0.88693   0.92189   0.81158   0.91191   0.95000
   0.79441   0.88810   0.92334   0.84215   0.94076   0.97176
   0.79397   0.88747   0.92269   0.76359   0.85863   0.90097
   0.79461   0.88847   0.92387   0.83867   0.93408   0.96375
   0.79546   0.88984   0.92550   0.85464   0.95308   0.98156
   0.79627   0.89113   0.92702   0.85337   0.95098   0.97947
   0.79702   0.89224   0.92826   0.84930   0.94406   0.97137
   0.79785   0.89354   0.92976   0.85699   0.95437   0.98223
   0.79843   0.89435   0.93062   0.84028   0.93259   0.96096
   0.79907   0.89524   0.93158   0.84517   0.93781   0.96542
   0.79888   0.89492   0.93126   0.78510   0.87977   0.91981
   0.79779   0.89338   0.92954   0.71769   0.81866   0.86788
   0.79843   0.89430   0.93056   0.84561   0.93924   0.96722
   0.79745   0.89264   0.92844   0.72483   0.81135   0.85123
   0.79793   0.89326   0.92902   0.83400   0.92366   0.95049
   0.79848   0.89396   0.92970   0.83974   0.92902   0.95455
   0.79886   0.89454   0.93041   0.82763   0.92337   0.95688
   0.79853   0.89400   0.92975   0.77320   0.86681   0.90521
   0.79769   0.89270   0.92828   0.73312   0.82671   0.87279
   0.79837   0.89374   0.92949   0.85113   0.94688   0.97546
   0.79895   0.89457   0.93042   0.84375   0.93722   0.96585
   0.79907   0.89475   0.93069   0.80860   0.90425   0.94125
   0.79966   0.89559   0.93161   0.84604   0.93904   0.96715
   0.79988   0.89587   0.93194   0.81730   0.91042   0.94495
   0.80035   0.89655   0.93274   0.83766   0.93273   0.96415
   0.80100   0.89746   0.93372   0.85248   0.94542   0.97231
   0.79701   0.89137   0.92595   0.47623   0.56638   0.61701
   0.79644   0.89054   0.92502   0.75015   0.84626   0.88795
   0.79545   0.88906   0.92336   0.71494   0.80926   0.85629
   0.79609   0.89008   0.92458   0.84848   0.94534   0.97434
   0.79648   0.89071   0.92540   0.82861   0.92533   0.95855
   0.79478   0.88821   0.92248   0.65389   0.75037   0.80301
   0.79543   0.88925   0.92374   0.84940   0.94680   0.97572
   0.79565   0.88956   0.92410   0.81464   0.90722   0.93894
   0.79613   0.89034   0.92508   0.83603   0.93379   0.96593
   0.79638   0.89073   0.92560   0.81769   0.91295   0.94746
