   Omega 1   Omega 2   Omega 3     Psi 1     Psi 2     Psi 3
Mean = 
   0.22707   0.40608   0.54317   0.24870   0.43745   0.58022
   0.22749   0.40698   0.54460   0.24742   0.43557   0.57816
   0.22755   0.40703   0.54463   0.23061   0.40845   0.54537
   0.22683   0.40514   0.54147   0.19167   0.34417   0.46564
   0.22729   0.40616   0.54309   0.25000   0.43939   0.58241
   0.22762   0.40687   0.54422   0.24406   0.43022   0.57180
   0.22790   0.40745   0.54513   0.24191   0.42683   0.56779
   0.22755   0.40653   0.54365   0.20995   0.37576   0.50663
   0.22798   0.40747   0.54512   0.25000   0.43932   0.58224
   0.22835   0.40827   0.54637   0.24762   0.43571   0.57816
   0.22862   0.40884   0.54725   0.24292   0.42855   0.56999
   0.22781   0.40668   0.54357   0.18458   0.33124   0.44791
   0.22822   0.40758   0.54499   0.25000   0.43925   0.58208
   0.22840   0.40794   0.54554   0.23853   0.42092   0.56009
   0.22857   0.40826   0.54601   0.23750   0.41947   0.55860
   0.22843   0.40782   0.54525   0.22072   0.39201   0.52477
   0.22881   0.40865   0.54655   0.25000   0.43919   0.58194
   0.22911   0.40930   0.54754   0.24602   0.43304   0.57484
   0.22937   0.40983   0.54836   0.24386   0.42979   0.57117
   0.22883   0.40842   0.54601   0.19804   0.35525   0.48016
   0.22919   0.40921   0.54723   0.25000   0.43913   0.58181
   0.22951   0.40988   0.54828   0.24786   0.43590   0.57815
   0.22966   0.41017   0.54872   0.23856   0.42140   0.56123
   0.22864   0.40751   0.54416   0.16849   0.30348   0.41191
   0.22897   0.40823   0.54531   0.24854   0.43680   0.57902
   0.22928   0.40891   0.54639   0.24793   0.43595   0.57815
   0.22948   0.40933   0.54704   0.24160   0.42605   0.56656
   0.22826   0.40612   0.54151   0.15366   0.27671   0.37551
   0.22860   0.40691   0.54279   0.25000   0.43902   0.58157
   0.22891   0.40760   0.54390   0.24780   0.43570   0.57780
   0.22904   0.40788   0.54438   0.23750   0.41962   0.55901
   0.22867   0.40690   0.54275   0.20492   0.36589   0.49243
   0.22900   0.40764   0.54395   0.25000   0.43898   0.58146
   0.22927   0.40825   0.54493   0.24671   0.43399   0.57581
   0.22946   0.40866   0.54560   0.24173   0.42619   0.56666
   0.22919   0.40795   0.54441   0.21164   0.37712   0.50655
   0.22950   0.40865   0.54553   0.25000   0.43893   0.58136
   0.22978   0.40926   0.54650   0.24812   0.43609   0.57814
   0.23000   0.40974   0.54727   0.24478   0.43101   0.57237
   0.22915   0.40751   0.54344   0.17185   0.30839   0.41722
   0.22943   0.40814   0.54446   0.24835   0.43629   0.57820
   0.22969   0.40873   0.54540   0.24763   0.43530   0.57720
   0.22945   0.40808   0.54430   0.21304   0.37852   0.50712
   0.22863   0.40595   0.54071   0.17194   0.30902   0.41863
   0.22893   0.40665   0.54185   0.24982   0.43858   0.58086
   0.22915   0.40715   0.54268   0.24450   0.43028   0.57116
   0.22934   0.40758   0.54340   0.24278   0.42782   0.56855
   0.22909   0.40693   0.54237   0.21101   0.37641   0.50610
   0.22938   0.40759   0.54343   0.25000   0.43881   0.58108
   0.22963   0.40818   0.54438   0.24828   0.43621   0.57814
   0.22939   0.40753   0.54328   0.21199   0.37637   0.50389
   0.22873   0.40583   0.54043   0.18044   0.32368   0.43764
   0.22901   0.40648   0.54150   0.24966   0.43826   0.58042
   0.22924   0.40701   0.54237   0.24597   0.43265   0.57404
   0.22947   0.40753   0.54323   0.24650   0.43348   0.57502
   0.22914   0.40670   0.54189   0.20430   0.36533   0.49236
   0.22941   0.40733   0.54291   0.25000   0.43874   0.58093
   0.22955   0.40763   0.54342   0.24003   0.42300   0.56225
   0.22975   0.40810   0.54418   0.24545   0.43181   0.57300
   0.22939   0.40718   0.54267   0.20177   0.36041   0.48532
   0.22965   0.40778   0.54364   0.24984   0.43847   0.58058
   0.22989   0.40832   0.54451   0.24841   0.43631   0.57814
   0.23008   0.40875   0.54521   0.24494   0.43103   0.57213
   0.22972   0.40785   0.54374   0.20157   0.36075   0.48662
   0.22998   0.40843   0.54466   0.25000   0.43868   0.58079
   0.23019   0.40891   0.54543   0.24720   0.43440   0.57588
   0.23038   0.40933   0.54612   0.24568   0.43212   0.57334
   0.22967   0.40751   0.54302   0.17255   0.30968   0.41902
   0.22992   0.40808   0.54393   0.25000   0.43865   0.58072
   0.23013   0.40856   0.54471   0.24742   0.43475   0.57630
