   Omega 1   Omega 2   Omega 3     Psi 1     Psi 2     Psi 3
Mean = 
   0.14222   0.26417   0.36847   0.14261   0.26451   0.36872
Max = 
   0.14303   0.26528   0.36974   0.15000   0.28571   0.42857
Min = 
   0.00000   0.00000   0.00000   0.00000   0.00000   0.00000
SD = 
   0.00473   0.00718   0.00839   0.01385   0.02457   0.03271
Last = 
   0.14301   0.26522   0.36960   0.14323   0.26564   0.37029

data = 
   0.00000   0.00000   0.00000   0.00000   0.00000   0.00000
   0.00000   0.00000   0.00000   0.00000   0.00000   0.00000
   0.00000   0.00000   0.00000   0.00000   0.00000   0.00000
   0.00000   0.00000   0.00000   0.00000   0.00000   0.00000
   0.00000   0.00000   0.00000   0.00000   0.00000   0.00000
   0.00000   0.00000   0.00000   0.00000   0.00000   0.00000
   0.00000   0.00000   0.00000   0.00000   0.00000   0.00000
   0.03571   0.10714   0.21429   0.14286   0.28571   0.42857
   0.05556   0.15476   0.28571   0.12500   0.25000   0.37500
   0.06667   0.17500   0.30476   0.11111   0.22222   0.33333
   0.07136   0.17773   0.29485   0.09250   0.18500   0.27750
   0.07462   0.17875   0.28747   0.09091   0.18182   0.27273
   0.07500   0.17308   0.27017   0.07708   0.15417   0.23125
   0.07143   0.15742   0.23584   0.05000   0.10000   0.15000
   0.08024   0.17890   0.27482   0.13750   0.26484   0.38201
   0.08438   0.18661   0.28611   0.11333   0.22000   0.32000
   0.08915   0.19632   0.30114   0.12500   0.24167   0.35000
   0.09232   0.20159   0.30775   0.11765   0.22794   0.33088
   0.09430   0.20382   0.30901   0.11111   0.21569   0.31373
   0.09539   0.20395   0.30686   0.10526   0.20468   0.29825
   0.10036   0.21477   0.32413   0.14750   0.27974   0.39754
   0.10422   0.22250   0.33546   0.14286   0.27143   0.38647
   0.10593   0.22436   0.33613   0.12386   0.23680   0.33932
   0.10797   0.22745   0.33950   0.13043   0.24901   0.35630
   0.10858   0.22678   0.33626   0.11563   0.22192   0.31928
   0.10915   0.22631   0.33382   0.11600   0.22267   0.32039
   0.10734   0.21943   0.31984   0.08462   0.16438   0.23945
   0.11025   0.22583   0.33051   0.14815   0.27920   0.39453
   0.11250   0.23038   0.33764   0.14286   0.26984   0.38217
   0.11057   0.22349   0.32379   0.08362   0.16145   0.23382
   0.11204   0.22633   0.32841   0.13333   0.25287   0.35961
   0.11310   0.22810   0.33102   0.12903   0.24516   0.34928
   0.11316   0.22719   0.32878   0.11406   0.21804   0.31256
   0.11283   0.22533   0.32494   0.10758   0.20611   0.29613
   0.11479   0.22969   0.33231   0.14706   0.27629   0.38937
   0.11579   0.23147   0.33491   0.13286   0.25101   0.35573
   0.11532   0.22928   0.33038   0.10694   0.20440   0.29304
   0.11629   0.23114   0.33334   0.13378   0.25285   0.35846
   0.11707   0.23251   0.33538   0.13158   0.24893   0.35325
   0.11721   0.23216   0.33432   0.11987   0.22783   0.32481
   0.11881   0.23571   0.34018   0.15000   0.28077   0.39433
   0.12012   0.23848   0.34454   0.14634   0.27439   0.38602
   0.12118   0.24056   0.34766   0.14286   0.26829   0.37805
   0.12183   0.24156   0.34886   0.13547   0.25526   0.36087
   0.12174   0.24061   0.34660   0.11989   0.22733   0.32339
   0.12167   0.23975   0.34460   0.12000   0.22750   0.32358
   0.12118   0.23788   0.34089   0.11033   0.21041   0.30102
   0.12234   0.24042   0.34504   0.14894   0.27845   0.39069
   0.12330   0.24241   0.34819   0.14583   0.27305   0.38367
   0.12376   0.24308   0.34898   0.13469   0.25351   0.35804
   0.12408   0.24341   0.34920   0.13200   0.24876   0.35176
   0.12455   0.24416   0.35016   0.13627   0.25631   0.36176
   0.12491   0.24463   0.35066   0.13413   0.25255   0.35680
   0.12374   0.24098   0.34373   0.09340   0.17886   0.25700
   0.12463   0.24293   0.34695   0.14815   0.27673   0.38800
   0.12526   0.24419   0.34893   0.14227   0.26652   0.37472
   0.12588   0.24542   0.35083   0.14286   0.26753   0.37605
   0.12633   0.24622   0.35197   0.13904   0.26086   0.36732
   0.12672   0.24687   0.35284   0.13793   0.25892   0.36479
   0.12675   0.24655   0.35201   0.12754   0.24052   0.34038
   0.12751   0.24818   0.35459   0.15000   0.27966   0.39144
   0.12816   0.24949   0.35662   0.14754   0.27541   0.38594
   0.12870   0.25053   0.35814   0.14516   0.27129   0.38059
   0.12896   0.25082   0.35834   0.13690   0.25675   0.36143
   0.12899   0.25054   0.35756   0.13008   0.24474   0.34563
   0.12913   0.25055   0.35731   0.13346   0.25070   0.35347
   0.12841   0.24829   0.35302   0.10530   0.20008   0.28531
   0.12903   0.24961   0.35514   0.14925   0.27815   0.38921
   0.12862   0.24820   0.35240   0.11507   0.21720   0.30776
   0.12880   0.24839   0.35259   0.13478   0.25273   0.35576
   0.12920   0.24918   0.35384   0.14286   0.26708   0.37486
   0.12887   0.24805   0.35166   0.11761   0.22200   0.31458
   0.12881   0.24763   0.35081   0.12639   0.23788   0.33609
   0.12903   0.24801   0.35139   0.13699   0.25685   0.36152
   0.12951   0.24907   0.35314   0.14730   0.27455   0.38424
   0.12996   0.25003   0.35471   0.14667   0.27351   0.38298
   0.13035   0.25082   0.35596   0.14474   0.27018   0.37866
   0.13067   0.25144   0.35690   0.14286   0.26692   0.37444
   0.13085   0.25169   0.35721   0.13782   0.25813   0.36295
   0.13034   0.25009   0.35419   0.11044   0.20896   0.29676
   0.13083   0.25116   0.35596   0.15000   0.27911   0.39002
   0.13115   0.25181   0.35697   0.14414   0.26890   0.37669
   0.13135   0.25215   0.35744   0.13963   0.26117   0.36677
   0.13158   0.25255   0.35802   0.14096   0.26341   0.36958
   0.13185   0.25305   0.35877   0.14286   0.26678   0.37408
   0.13185   0.25286   0.35831   0.13176   0.24739   0.34871
   0.13162   0.25205   0.35676   0.12180   0.22955   0.32476
   0.13202   0.25294   0.35820   0.14943   0.27800   0.38842
   0.13237   0.25368   0.35939   0.14773   0.27508   0.38466
   0.13268   0.25430   0.36035   0.14607   0.27222   0.38097
   0.13250   0.25362   0.35899   0.12444   0.23368   0.32948
   0.13272   0.25403   0.35961   0.14258   0.26619   0.37316
   0.13274   0.25394   0.35934   0.13397   0.25112   0.35343
   0.13228   0.25253   0.35672   0.11102   0.20985   0.29779
   0.13263   0.25331   0.35800   0.14894   0.27705   0.38707
   0.13293   0.25395   0.35904   0.14711   0.27390   0.38301
   0.13320   0.25450   0.35992   0.14583   0.27171   0.38018
   0.13338   0.25484   0.36042   0.14227   0.26554   0.37219
   0.13351   0.25502   0.36064   0.13954   0.26078   0.36595
   0.13326   0.25421   0.35911   0.12121   0.22817   0.32249
   0.13359   0.25494   0.36031   0.15000   0.27879   0.38918
   0.13389   0.25557   0.36131   0.14851   0.27624   0.38590
   0.13414   0.25610   0.36214   0.14706   0.27373   0.38267
   0.13436   0.25652   0.36279   0.14539   0.27085   0.37896
   0.13413   0.25576   0.36132   0.12212   0.22967   0.32435
   0.13406   0.25544   0.36067   0.13048   0.24454   0.34416
   0.13335   0.25338   0.35688   0.09599   0.18201   0.25911
