   ID       GA1       GA2       GA3
  177    0.7958    0.8975    0.9326
  178    0.7958    0.8973    0.9325
  179    0.7964    0.8982    0.9334
  180    0.7969    0.8987    0.9339
  181    0.7971    0.8989    0.9342
  182    0.7972    0.8990    0.9343
  183    0.7978    0.8997    0.9350
  184    0.7973    0.8988    0.9339
  185    0.7977    0.8993    0.9345
  186    0.7969    0.8981    0.9331
  187    0.7976    0.8990    0.9341
  188    0.7982    0.8998    0.9351
  189    0.7987    0.9005    0.9358
  190    0.7983    0.8997    0.9349
  191    0.7973    0.8982    0.9331
  192    0.7973    0.8980    0.9328
  193    0.7977    0.8985    0.9334
  194    0.7982    0.8992    0.9342
  195    0.7982    0.8992    0.9342
  196    0.7988    0.8999    0.9350
  197    0.7970    0.8970    0.9315
  198    0.7975    0.8978    0.9324
  199    0.7977    0.8981    0.9328
  200    0.7983    0.8989    0.9337
  201    0.7986    0.8992    0.9339
  202    0.7966    0.8961    0.9302
  203    0.7971    0.8968    0.9310
  204    0.7976    0.8976    0.9319
  205    0.7980    0.8981    0.9325
  206    0.7982    0.8983    0.9327
  207    0.7984    0.8984    0.9328
  208    0.7989    0.8992    0.9337
  209    0.7994    0.8998    0.9343
  210    0.7998    0.9003    0.9350
  211    0.8000    0.9006    0.9353
  212    0.7987    0.8984    0.9324
  213    0.7993    0.8991    0.9332
  214    0.7995    0.8993    0.9335
  215    0.7995    0.8994    0.9336
  216    0.7985    0.8978    0.9316
  217    0.7990    0.8984    0.9323
  218    0.7987    0.8978    0.9317
  219    0.7991    0.8984    0.9324
  220    0.7996    0.8991    0.9332
  221    0.7999    0.8994    0.9336
  222    0.8002    0.8999    0.9342
  223    0.8007    0.9005    0.9349
  224    0.7995    0.8988    0.9329
  225    0.8000    0.8994    0.9336
  226    0.7999    0.8992    0.9334
  227    0.8004    0.8999    0.9342
  228    0.8009    0.9005    0.9349
  229    0.8013    0.9012    0.9356
  230    0.8011    0.9008    0.9351
  231    0.8016    0.9015    0.9359
  232    0.8010    0.9005    0.9347
  233    0.8015    0.9011    0.9354
  234    0.8018    0.9014    0.9357
  235    0.8020    0.9017    0.9361
  236    0.8023    0.9020    0.9364
  237    0.8027    0.9025    0.9370
  238    0.8019    0.9013    0.9354
  239    0.8021    0.9013    0.9353
  240    0.8023    0.9016    0.9357
  241    0.8025    0.9019    0.9360
  242    0.8030    0.9024    0.9367
  243    0.8034    0.9030    0.9373
  244    0.8037    0.9033    0.9375
  245    0.8038    0.9033    0.9375
  246    0.8041    0.9037    0.9380
  247    0.8039    0.9034    0.9376
  248    0.8044    0.9040    0.9382
  249    0.8041    0.9035    0.9377
  250    0.8038    0.9029    0.9370
  251    0.8030    0.9016    0.9354
  252    0.8034    0.9022    0.9360
  253    0.8038    0.9027    0.9367
  254    0.8039    0.9028    0.9367
  255    0.8043    0.9032    0.9372
  256    0.8043    0.9032    0.9372
  257    0.8037    0.9023    0.9362
  258    0.8032    0.9014    0.9351
  259    0.8035    0.9018    0.9356
  260    0.8038    0.9022    0.9361
  261    0.8034    0.9016    0.9353
  262    0.8034    0.9015    0.9353
  263    0.8038    0.9019    0.9358
  264    0.8033    0.9012    0.9350
  265    0.8037    0.9017    0.9355
  266    0.8035    0.9013    0.9350
  267    0.8031    0.9007    0.9343
  268    0.8034    0.9011    0.9348
  269    0.8032    0.9007    0.9344
  270    0.8035    0.9010    0.9347
  271    0.8034    0.9008    0.9345
  272    0.8038    0.9014    0.9351
  273    0.8037    0.9012    0.9349
  274    0.8040    0.9016    0.9353
  275    0.8044    0.9022    0.9360
  276    0.8048    0.9027    0.9366
  277    0.8050    0.9028    0.9367
  278    0.8053    0.9033    0.9372
  279    0.8050    0.9027    0.9365
  280    0.8052    0.9029    0.9368
  281    0.8051    0.9027    0.9365
  282    0.8051    0.9027    0.9365
  283    0.8053    0.9030    0.9368
  284    0.8053    0.9028    0.9366
  285    0.8056    0.9032    0.9371
  286    0.8058    0.9035    0.9375
  287    0.8052    0.9025    0.9362
  288    0.8051    0.9022    0.9359
  289    0.8054    0.9027    0.9364
  290    0.8058    0.9032    0.9370
  291    0.8056    0.9029    0.9367
  292    0.8058    0.9031    0.9369
  293    0.8058    0.9031    0.9370
  294    0.8062    0.9036    0.9375
  295    0.8064    0.9039    0.9378
  296    0.8061    0.9033    0.9372
  297    0.8065    0.9039    0.9378
  298    0.8064    0.9036    0.9375
  299    0.8062    0.9033    0.9371
  300    0.8066    0.9038    0.9377
  301    0.8068    0.9042    0.9381
  302    0.8071    0.9046    0.9386
  303    0.8074    0.9050    0.9391
  304    0.8077    0.9053    0.9394
  305    0.8080    0.9058    0.9399
  306    0.8080    0.9056    0.9397
  307    0.8083    0.9060    0.9401
  308    0.8083    0.9059    0.9401
  309    0.8085    0.9062    0.9404
  310    0.8088    0.9066    0.9409
  311    0.8091    0.9070    0.9412
  312    0.8094    0.9074    0.9416
  313    0.8092    0.9070    0.9412
  314    0.8095    0.9073    0.9415
  315    0.8090    0.9065    0.9406
  316    0.8081    0.9051    0.9387
  317    0.8084    0.9053    0.9390
  318    0.8080    0.9047    0.9382
  319    0.8083    0.9051    0.9387
  320    0.8086    0.9055    0.9392
  321    0.8084    0.9051    0.9387
  322    0.8087    0.9055    0.9391
  323    0.8087    0.9055    0.9392
  324    0.8084    0.9049    0.9385
  325    0.8086    0.9052    0.9389
  326    0.8086    0.9051    0.9387
  327    0.8088    0.9054    0.9391
  328    0.8091    0.9057    0.9394
  329    0.8094    0.9061    0.9398
  330    0.8094    0.9061    0.9398
  331    0.8097    0.9064    0.9402
  332    0.8088    0.9051    0.9386
  333    0.8089    0.9053    0.9388
  334    0.8085    0.9045    0.9379
  335    0.8088    0.9049    0.9383
  336    0.8085    0.9044    0.9377
  337    0.8088    0.9048    0.9382
  338    0.8090    0.9050    0.9383
  339    0.8093    0.9054    0.9388
  340    0.8086    0.9043    0.9375
  341    0.8082    0.9036    0.9365
  342    0.8083    0.9038    0.9368
  343    0.8085    0.9040    0.9370
  344    0.8086    0.9041    0.9371
  345    0.8087    0.9043    0.9374
  346    0.8085    0.9039    0.9370
  347    0.8088    0.9043    0.9375
  348    0.8089    0.9045    0.9377
  349    0.8092    0.9047    0.9379
  350    0.8090    0.9043    0.9374
  351    0.8091    0.9046    0.9377
  352    0.8088    0.9041    0.9371
  353    0.8091    0.9043    0.9374
  354    0.8090    0.9042    0.9372
  355    0.8084    0.9033    0.9362
  356    0.8078    0.9022    0.9349
  357    0.8076    0.9019    0.9346
  358    0.8077    0.9021    0.9348
  359    0.8080    0.9024    0.9352
  360    0.8082    0.9028    0.9356
  361    0.8078    0.9022    0.9348
  362    0.8080    0.9024    0.9350
  363    0.8083    0.9028    0.9355
  364    0.8085    0.9031    0.9359
  365    0.8087    0.9034    0.9362
  366    0.8090    0.9038    0.9367
  367    0.8090    0.9036    0.9365
  368    0.8091    0.9038    0.9367
  369    0.8093    0.9041    0.9371
  370    0.8095    0.9044    0.9374
  371    0.8087    0.9032    0.9360
  372    0.8087    0.9032    0.9359
  373    0.8090    0.9035    0.9363
  374    0.8089    0.9033    0.9362
  375    0.8087    0.9031    0.9359
  376    0.8086    0.9029    0.9357
  377    0.8085    0.9027    0.9355
  378    0.8085    0.9026    0.9355
  379    0.8085    0.9027    0.9355
  380    0.8087    0.9029    0.9358
  381    0.8090    0.9033    0.9363
  382    0.8093    0.9037    0.9367
  383    0.8094    0.9039    0.9370
  384    0.8092    0.9034    0.9363
  385    0.8086    0.9025    0.9352
  386    0.8088    0.9029    0.9356
  387    0.8090    0.9032    0.9360
  388    0.8090    0.9032    0.9360
  389    0.8093    0.9034    0.9363
  390    0.8082    0.9018    0.9343
  391    0.8084    0.9021    0.9347
  392    0.8084    0.9020    0.9345
  393    0.8086    0.9023    0.9349
  394    0.8074    0.9005    0.9326
  395    0.8072    0.9002    0.9323
  396    0.8071    0.8999    0.9321
  397    0.8068    0.8995    0.9316
  398    0.8070    0.8998    0.9319
  399    0.8072    0.9001    0.9323
  400    0.8070    0.8998    0.9319
  401    0.8071    0.9000    0.9321
  402    0.8071    0.8999    0.9321
  403    0.8072    0.9001    0.9323
  404    0.8073    0.9002    0.9325
  405    0.8076    0.9006    0.9330
  406    0.8067    0.8992    0.9313
  407    0.8067    0.8993    0.9312
  408    0.8070    0.8996    0.9316
  409    0.8064    0.8987    0.9307
  410    0.8067    0.8991    0.9311
  411    0.8069    0.8995    0.9315
  412    0.8071    0.8998    0.9319
  413    0.8073    0.9001    0.9322
  414    0.8073    0.9000    0.9321
  415    0.8074    0.9002    0.9324
  416    0.8077    0.9005    0.9328
  417    0.8075    0.9003    0.9325
  418    0.8073    0.9000    0.9323
  419    0.8070    0.8995    0.9317
  420    0.8059    0.8978    0.9294
  421    0.8061    0.8980    0.9296
  422    0.8063    0.8982    0.9300
  423    0.8065    0.8986    0.9304
  424    0.8067    0.8989    0.9308
  425    0.8070    0.8993    0.9312
  426    0.8062    0.8982    0.9299
  427    0.8057    0.8974    0.9290
  428    0.8052    0.8966    0.9279
  429    0.8054    0.8970    0.9284
  430    0.8056    0.8972    0.9287
  431    0.8059    0.8976    0.9292
  432    0.8061    0.8979    0.9296
  433    0.8063    0.8983    0.9300
  434    0.8065    0.8986    0.9304
  435    0.8066    0.8987    0.9306
  436    0.8062    0.8982    0.9300
  437    0.8062    0.8981    0.9299
  438    0.8063    0.8983    0.9302
  439    0.8064    0.8985    0.9305
  440    0.8066    0.8988    0.9308
  441    0.8066    0.8988    0.9308
  442    0.8066    0.8987    0.9307
  443    0.8068    0.8990    0.9311
  444    0.8069    0.8991    0.9313
  445    0.8070    0.8993    0.9316
  446    0.8073    0.8997    0.9320
  447    0.8072    0.8996    0.9318
  448    0.8072    0.8996    0.9318
  449    0.8070    0.8992    0.9314
  450    0.8066    0.8987    0.9309
  451    0.8068    0.8989    0.9310
  452    0.8066    0.8987    0.9308
  453    0.8064    0.8983    0.9305
  454    0.8061    0.8979    0.9300
  455    0.8061    0.8979    0.9300
  456    0.8053    0.8967    0.9286
  457    0.8052    0.8965    0.9284
  458    0.8053    0.8966    0.9285
  459    0.8055    0.8969    0.9289
  460    0.8057    0.8972    0.9292
  461    0.8054    0.8968    0.9287
  462    0.8053    0.8966    0.9285
  463    0.8051    0.8963    0.9282
  464    0.8052    0.8965    0.9284
  465    0.8052    0.8965    0.9284
  466    0.8053    0.8966    0.9287
  467    0.8050    0.8961    0.9280
  468    0.8050    0.8962    0.9281
  469    0.8053    0.8965    0.9286
