   ID       GA1       GA2       GA3
  177    0.7375    0.8274    0.8745
  178    0.7364    0.8260    0.8732
  179    0.7354    0.8246    0.8720
  180    0.7331    0.8203    0.8658
  181    0.7339    0.8221    0.8682
  182    0.7348    0.8238    0.8705
  183    0.7356    0.8256    0.8727
  184    0.7364    0.8272    0.8749
  185    0.7354    0.8259    0.8736
  186    0.7344    0.8246    0.8725
  187    0.7352    0.8263    0.8746
  188    0.7360    0.8279    0.8767
  189    0.7350    0.8266    0.8755
  190    0.7341    0.8254    0.8744
  191    0.7349    0.8270    0.8765
  192    0.7356    0.8285    0.8785
  193    0.7364    0.8301    0.8804
  194    0.7372    0.8316    0.8824
  195    0.7362    0.8303    0.8811
  196    0.7370    0.8318    0.8830
  197    0.7349    0.8278    0.8771
  198    0.7357    0.8293    0.8791
  199    0.7347    0.8280    0.8779
  200    0.7355    0.8295    0.8798
  201    0.7362    0.8310    0.8816
  202    0.7353    0.8298    0.8804
  203    0.7344    0.8286    0.8793
  204    0.7351    0.8300    0.8811
  205    0.7359    0.8315    0.8829
  206    0.7350    0.8303    0.8818
  207    0.7342    0.8291    0.8807
  208    0.7349    0.8305    0.8825
  209    0.7356    0.8319    0.8842
  210    0.7362    0.8333    0.8859
  211    0.7354    0.8321    0.8847
  212    0.7361    0.8335    0.8864
  213    0.7368    0.8348    0.8880
  214    0.7349    0.8310    0.8825
  215    0.7356    0.8323    0.8842
  216    0.7362    0.8337    0.8858
  217    0.7369    0.8350    0.8874
  218    0.7361    0.8338    0.8862
  219    0.7368    0.8351    0.8878
  220    0.7374    0.8364    0.8894
  221    0.7366    0.8352    0.8882
  222    0.7373    0.8364    0.8897
  223    0.7379    0.8377    0.8912
  224    0.7386    0.8389    0.8927
  225    0.7377    0.8377    0.8914
  226    0.7369    0.8365    0.8902
  227    0.7362    0.8354    0.8891
  228    0.7368    0.8366    0.8906
  229    0.7360    0.8356    0.8895
  230    0.7366    0.8368    0.8909
  231    0.7373    0.8379    0.8924
  232    0.7379    0.8391    0.8937
  233    0.7361    0.8355    0.8885
  234    0.7367    0.8367    0.8900
  235    0.7374    0.8379    0.8914
  236    0.7380    0.8390    0.8928
  237    0.7372    0.8379    0.8916
  238    0.7378    0.8391    0.8930
  239    0.7384    0.8402    0.8943
  240    0.7391    0.8413    0.8957
